78.0	36.0	94.0	54.0	25.0	80.0	77.0	68.0	22.0	69.0	71.0	38.0
59.0	10.0	60.0	14.0	19.0	36.0	56.0	36.0	22.0	36.0	35.0	16.0
41.0	27.0	55.0	23.0	20.0	54.0	39.0	30.0	20.0	30.0	60.0	9.0
53.0	44.0	76.0	48.0	31.0	79.0	53.0	53.0	28.0	54.0	81.0	32.0
84.0	25.0	93.0	47.0	23.0	67.0	82.0	68.0	23.0	68.0	52.0	37.0
22.0	55.0	50.0	45.0	47.0	72.0	23.0	34.0	46.0	35.0	85.0	37.0
67.0	7.0	74.0	28.0	9.0	51.0	65.0	49.0	12.0	49.0	43.0	19.0
64.0	33.0	53.0	21.0	44.0	11.0	61.0	37.0	47.0	36.0	25.0	37.0
2.0	66.0	33.0	49.0	62.0	70.0	5.0	29.0	62.0	30.0	89.0	48.0
55.0	49.0	78.0	53.0	36.0	84.0	54.0	56.0	33.0	57.0	86.0	37.0
116.0	53.0	111.0	68.0	63.0	64.0	113.0	91.0	66.0	91.0	35.0	71.0
52.0	15.0	55.0	11.0	18.0	39.0	49.0	31.0	21.0	31.0	42.0	8.0
73.0	7.0	75.0	28.0	20.0	44.0	70.0	51.0	23.0	51.0	32.0	26.0
76.0	15.0	83.0	37.0	14.0	58.0	73.0	58.0	16.0	58.0	46.0	28.0
68.0	57.0	46.0	40.0	68.0	15.0	65.0	43.0	70.0	42.0	42.0	57.0
73.0	27.0	87.0	45.0	16.0	71.0	72.0	61.0	14.0	62.0	62.0	30.0
94.0	32.0	90.0	46.0	44.0	46.0	91.0	69.0	47.0	69.0	19.0	50.0
100.0	48.0	89.0	53.0	62.0	38.0	97.0	73.0	65.0	73.0	13.0	63.0
78.0	16.0	77.0	31.0	29.0	40.0	75.0	55.0	32.0	55.0	24.0	33.0
90.0	60.0	71.0	52.0	73.0	22.0	87.0	64.0	76.0	63.0	29.0	67.0
68.0	11.0	77.0	32.0	7.0	55.0	66.0	51.0	9.0	52.0	47.0	21.0
53.0	44.0	36.0	24.0	53.0	16.0	50.0	27.0	55.0	25.0	42.0	41.0
58.0	47.0	81.0	53.0	33.0	84.0	58.0	58.0	30.0	59.0	84.0	37.0
84.0	20.0	89.0	42.0	23.0	59.0	81.0	64.0	25.0	64.0	43.0	36.0
74.0	26.0	66.0	27.0	40.0	23.0	71.0	48.0	43.0	47.0	14.0	37.0
79.0	79.0	51.0	61.0	89.0	36.0	76.0	58.0	91.0	57.0	61.0	78.0
71.0	66.0	45.0	48.0	76.0	24.0	67.0	48.0	79.0	46.0	51.0	65.0
108.0	50.0	100.0	60.0	62.0	51.0	105.0	82.0	65.0	82.0	23.0	67.0
80.0	15.0	82.0	35.0	25.0	48.0	77.0	58.0	28.0	58.0	31.0	33.0
14.0	56.0	22.0	36.0	54.0	54.0	11.0	13.0	55.0	14.0	74.0	40.0
43.0	36.0	62.0	35.0	25.0	66.0	41.0	38.0	23.0	39.0	70.0	20.0
85.0	20.0	89.0	42.0	26.0	56.0	83.0	65.0	28.0	65.0	38.0	37.0
99.0	36.0	94.0	51.0	48.0	50.0	95.0	74.0	50.0	73.0	23.0	54.0
41.0	50.0	66.0	48.0	38.0	78.0	41.0	46.0	36.0	47.0	85.0	34.0
105.0	40.0	104.0	59.0	49.0	62.0	102.0	82.0	51.0	82.0	36.0	58.0
93.0	29.0	91.0	46.0	40.0	50.0	90.0	69.0	42.0	69.0	26.0	47.0
87.0	43.0	74.0	42.0	56.0	23.0	83.0	60.0	60.0	59.0	9.0	54.0
54.0	37.0	74.0	43.0	23.0	73.0	53.0	50.0	21.0	51.0	74.0	26.0
84.0	63.0	62.0	51.0	75.0	20.0	80.0	58.0	78.0	57.0	37.0	67.0
38.0	43.0	27.0	20.0	48.0	31.0	34.0	11.0	50.0	10.0	52.0	34.0
