43.0	20.0	36.0	49.0	13.0	41.0	38.0	10.0	47.0	26.0	60.0	20.0	27.0	31.0	31.0	46.0	26.0	28.0	64.0	61.0	69.0	32.0	60.0	44.0	20.0	34.0	38.0	19.0	34.0	50.0
24.0	22.0	35.0	38.0	15.0	63.0	34.0	31.0	46.0	53.0	81.0	17.0	10.0	45.0	59.0	62.0	35.0	56.0	48.0	41.0	54.0	37.0	49.0	49.0	21.0	51.0	27.0	8.0	27.0	70.0
77.0	36.0	19.0	91.0	51.0	50.0	85.0	46.0	7.0	60.0	56.0	63.0	43.0	31.0	72.0	99.0	28.0	70.0	100.0	40.0	31.0	83.0	21.0	14.0	36.0	35.0	79.0	50.0	78.0	47.0
23.0	68.0	82.0	15.0	54.0	103.0	27.0	71.0	93.0	86.0	122.0	43.0	57.0	90.0	86.0	61.0	80.0	82.0	3.0	79.0	95.0	39.0	93.0	96.0	67.0	95.0	25.0	52.0	28.0	112.0
49.0	50.0	67.0	44.0	38.0	59.0	32.0	38.0	78.0	37.0	77.0	33.0	53.0	58.0	31.0	15.0	56.0	28.0	61.0	88.0	99.0	20.0	90.0	73.0	50.0	59.0	39.0	43.0	34.0	70.0
44.0	22.0	21.0	59.0	28.0	62.0	56.0	37.0	29.0	59.0	76.0	37.0	13.0	41.0	68.0	81.0	29.0	65.0	66.0	22.0	33.0	57.0	28.0	37.0	20.0	47.0	48.0	24.0	48.0	66.0
58.0	43.0	36.0	74.0	50.0	80.0	74.0	58.0	37.0	80.0	92.0	57.0	35.0	58.0	90.0	102.0	47.0	87.0	76.0	1.0	18.0	77.0	22.0	48.0	42.0	64.0	64.0	45.0	66.0	82.0
56.0	26.0	38.0	62.0	26.0	28.0	50.0	10.0	47.0	13.0	47.0	33.0	38.0	24.0	21.0	49.0	25.0	19.0	77.0	69.0	74.0	42.0	64.0	41.0	27.0	25.0	51.0	32.0	47.0	38.0
15.0	60.0	73.0	18.0	48.0	98.0	29.0	65.0	83.0	83.0	117.0	38.0	48.0	83.0	85.0	66.0	73.0	81.0	11.0	66.0	83.0	41.0	82.0	88.0	59.0	88.0	22.0	44.0	27.0	107.0
31.0	19.0	29.0	46.0	17.0	61.0	42.0	31.0	39.0	54.0	78.0	23.0	4.0	42.0	61.0	68.0	30.0	58.0	54.0	34.0	47.0	44.0	42.0	43.0	17.0	48.0	34.0	11.0	35.0	67.0
56.0	11.0	15.0	67.0	24.0	33.0	58.0	15.0	24.0	33.0	49.0	37.0	25.0	13.0	44.0	69.0	2.0	42.0	79.0	48.0	51.0	54.0	41.0	20.0	12.0	19.0	54.0	27.0	53.0	38.0
29.0	19.0	36.0	38.0	5.0	54.0	30.0	22.0	48.0	41.0	73.0	8.0	17.0	40.0	46.0	50.0	31.0	43.0	51.0	52.0	63.0	28.0	56.0	48.0	19.0	45.0	26.0	7.0	24.0	63.0
57.0	24.0	13.0	72.0	37.0	57.0	68.0	39.0	16.0	59.0	69.0	47.0	24.0	35.0	70.0	89.0	25.0	67.0	79.0	23.0	25.0	68.0	17.0	26.0	24.0	41.0	60.0	34.0	61.0	59.0
70.0	68.0	83.0	64.0	58.0	64.0	52.0	54.0	93.0	43.0	79.0	54.0	74.0	70.0	32.0	18.0	71.0	32.0	80.0	109.0	117.0	41.0	108.0	87.0	68.0	69.0	60.0	64.0	56.0	75.0
72.0	41.0	27.0	87.0	54.0	68.0	84.0	55.0	21.0	74.0	76.0	64.0	40.0	47.0	85.0	106.0	40.0	83.0	93.0	21.0	11.0	85.0	1.0	33.0	41.0	52.0	76.0	51.0	77.0	67.0
39.0	22.0	25.0	54.0	26.0	64.0	51.0	37.0	34.0	59.0	79.0	33.0	10.0	43.0	68.0	77.0	31.0	65.0	61.0	25.0	37.0	54.0	33.0	40.0	20.0	49.0	43.0	21.0	44.0	68.0
20.0	27.0	43.0	30.0	13.0	63.0	24.0	30.0	54.0	49.0	81.0	6.0	20.0	48.0	53.0	51.0	39.0	49.0	42.0	52.0	66.0	25.0	60.0	56.0	26.0	53.0	18.0	11.0	17.0	71.0
49.0	43.0	60.0	47.0	33.0	51.0	34.0	31.0	70.0	30.0	70.0	30.0	48.0	50.0	25.0	23.0	48.0	22.0	64.0	83.0	93.0	23.0	84.0	66.0	44.0	51.0	40.0	38.0	35.0	63.0
67.0	23.0	9.0	79.0	38.0	37.0	72.0	30.0	11.0	45.0	48.0	51.0	33.0	16.0	56.0	84.0	13.0	55.0	90.0	44.0	41.0	69.0	30.0	6.0	23.0	21.0	67.0	38.0	66.0	38.0
44.0	28.0	28.0	59.0	34.0	69.0	58.0	44.0	34.0	66.0	83.0	40.0	18.0	48.0	75.0	85.0	36.0	72.0	64.0	17.0	31.0	61.0	28.0	42.0	27.0	54.0	49.0	28.0	50.0	73.0
23.0	35.0	44.0	39.0	30.0	78.0	40.0	47.0	53.0	68.0	94.0	29.0	21.0	59.0	74.0	73.0	47.0	71.0	42.0	36.0	52.0	46.0	50.0	59.0	34.0	65.0	30.0	24.0	33.0	84.0
