77.0	80.0	45.0	61.0	19.0	18.0	18.0	44.0	48.0	28.0	21.0	21.0	71.0	44.0	39.0	77.0	50.0	63.0	72.0	18.0	31.0	52.0	68.0	50.0	65.0	70.0	69.0	30.0	41.0	85.0
68.0	68.0	30.0	40.0	41.0	18.0	21.0	32.0	26.0	4.0	13.0	18.0	47.0	27.0	17.0	55.0	53.0	39.0	68.0	22.0	33.0	59.0	45.0	32.0	44.0	69.0	49.0	47.0	19.0	62.0
20.0	14.0	25.0	71.0	74.0	51.0	52.0	25.0	63.0	55.0	67.0	48.0	47.0	72.0	59.0	35.0	41.0	38.0	33.0	76.0	44.0	54.0	68.0	24.0	75.0	38.0	18.0	69.0	41.0	52.0
81.0	78.0	42.0	26.0	54.0	34.0	38.0	46.0	13.0	13.0	15.0	35.0	43.0	10.0	7.0	56.0	69.0	39.0	83.0	24.0	49.0	76.0	33.0	41.0	29.0	84.0	55.0	63.0	24.0	58.0
40.0	46.0	22.0	71.0	38.0	22.0	20.0	16.0	58.0	39.0	46.0	20.0	63.0	62.0	50.0	60.0	17.0	52.0	34.0	51.0	7.0	26.0	73.0	29.0	75.0	34.0	45.0	32.0	36.0	74.0
47.0	51.0	18.0	61.0	35.0	12.0	12.0	15.0	47.0	28.0	35.0	9.0	56.0	51.0	39.0	56.0	28.0	45.0	44.0	41.0	10.0	36.0	63.0	25.0	65.0	44.0	43.0	33.0	27.0	68.0
54.0	46.0	28.0	39.0	77.0	49.0	52.0	34.0	35.0	39.0	52.0	47.0	14.0	46.0	35.0	14.0	63.0	5.0	64.0	62.0	53.0	75.0	35.0	21.0	43.0	68.0	17.0	77.0	23.0	24.0
96.0	92.0	59.0	10.0	77.0	57.0	61.0	64.0	16.0	35.0	37.0	57.0	42.0	14.0	23.0	58.0	90.0	43.0	101.0	43.0	71.0	98.0	20.0	56.0	10.0	103.0	65.0	86.0	40.0	54.0
29.0	28.0	10.0	62.0	60.0	36.0	37.0	10.0	51.0	40.0	52.0	33.0	44.0	60.0	46.0	37.0	34.0	33.0	35.0	61.0	30.0	46.0	60.0	12.0	66.0	38.0	21.0	56.0	28.0	52.0
49.0	44.0	17.0	41.0	65.0	38.0	41.0	23.0	33.0	30.0	44.0	36.0	24.0	43.0	30.0	24.0	53.0	13.0	57.0	53.0	41.0	64.0	39.0	10.0	45.0	60.0	19.0	66.0	13.0	35.0
