37.0	76.0	67.0	86.0	68.0	54.0	74.0	46.0	80.0	36.0	32.0	45.0
73.0	38.0	35.0	36.0	40.0	74.0	36.0	56.0	28.0	78.0	35.0	36.0
72.0	10.0	12.0	16.0	68.0	65.0	63.0	49.0	14.0	100.0	59.0	63.0
94.0	82.0	78.0	77.0	9.0	103.0	20.0	87.0	69.0	59.0	31.0	17.0
42.0	87.0	79.0	98.0	74.0	61.0	81.0	55.0	92.0	29.0	40.0	52.0
22.0	54.0	47.0	74.0	99.0	6.0	100.0	11.0	72.0	87.0	68.0	81.0
74.0	58.0	53.0	56.0	25.0	80.0	27.0	63.0	48.0	61.0	18.0	15.0
40.0	88.0	80.0	99.0	78.0	59.0	85.0	54.0	93.0	32.0	43.0	55.0
68.0	23.0	19.0	25.0	56.0	64.0	52.0	47.0	18.0	88.0	46.0	50.0
42.0	29.0	21.0	47.0	78.0	34.0	77.0	18.0	44.0	86.0	54.0	65.0
57.0	82.0	74.0	88.0	53.0	72.0	61.0	61.0	81.0	24.0	21.0	30.0
50.0	53.0	45.0	59.0	48.0	57.0	51.0	42.0	53.0	53.0	17.0	29.0
65.0	53.0	47.0	54.0	33.0	71.0	35.0	55.0	47.0	59.0	16.0	20.0
116.0	93.0	91.0	83.0	19.0	123.0	20.0	107.0	76.0	81.0	54.0	40.0
80.0	39.0	37.0	31.0	40.0	80.0	34.0	62.0	24.0	85.0	41.0	41.0
54.0	62.0	55.0	68.0	44.0	64.0	49.0	50.0	61.0	45.0	9.0	23.0
68.0	84.0	77.0	88.0	43.0	82.0	52.0	70.0	80.0	27.0	18.0	22.0
76.0	28.0	27.0	24.0	50.0	73.0	45.0	56.0	16.0	89.0	46.0	48.0
86.0	68.0	64.0	63.0	12.0	92.0	16.0	76.0	55.0	63.0	25.0	15.0
49.0	59.0	51.0	66.0	48.0	59.0	52.0	45.0	59.0	47.0	14.0	27.0
31.0	50.0	42.0	63.0	67.0	38.0	70.0	24.0	58.0	61.0	36.0	48.0
2.0	69.0	61.0	87.0	97.0	19.0	100.0	23.0	83.0	72.0	63.0	77.0
72.0	62.0	56.0	61.0	26.0	79.0	30.0	63.0	54.0	55.0	13.0	11.0
74.0	4.0	11.0	16.0	76.0	64.0	70.0	50.0	18.0	107.0	67.0	71.0
98.0	66.0	64.0	56.0	17.0	101.0	7.0	84.0	49.0	80.0	41.0	32.0
24.0	61.0	53.0	75.0	74.0	37.0	77.0	27.0	70.0	55.0	39.0	53.0
80.0	50.0	47.0	45.0	28.0	83.0	24.0	66.0	37.0	75.0	31.0	28.0
56.0	78.0	71.0	84.0	51.0	71.0	58.0	59.0	77.0	28.0	18.0	28.0
59.0	14.0	10.0	34.0	83.0	47.0	80.0	34.0	34.0	102.0	66.0	74.0
51.0	71.0	63.0	78.0	51.0	64.0	57.0	52.0	71.0	35.0	16.0	28.0
48.0	26.0	18.0	41.0	67.0	44.0	66.0	27.0	36.0	81.0	46.0	55.0
83.0	40.0	38.0	31.0	40.0	83.0	34.0	65.0	23.0	88.0	44.0	42.0
69.0	103.0	95.0	109.0	66.0	87.0	75.0	79.0	102.0	3.0	40.0	46.0
103.0	56.0	56.0	41.0	38.0	103.0	28.0	85.0	35.0	98.0	56.0	50.0
50.0	25.0	17.0	39.0	67.0	45.0	65.0	28.0	35.0	82.0	46.0	55.0
53.0	52.0	45.0	58.0	45.0	60.0	48.0	44.0	51.0	55.0	16.0	27.0
67.0	94.0	87.0	100.0	56.0	84.0	66.0	74.0	92.0	13.0	31.0	36.0
121.0	93.0	92.0	81.0	24.0	127.0	22.0	111.0	75.0	89.0	60.0	47.0
57.0	20.0	13.0	32.0	64.0	52.0	62.0	35.0	28.0	85.0	47.0	54.0
60.0	102.0	94.0	111.0	75.0	79.0	84.0	73.0	104.0	13.0	45.0	53.0
